法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
トランスミット株式会社,'4011001123347,株式会社,,トランスミット株式会社は、ものづくりをＩＴの力でサポートし、製造業のＤＸを推進するスマートな事業領域に特化した法人です。,愛知県名古屋市中村区平池町4丁目60-1211F,453-0872,愛知県,名古屋市中村区,平池町4丁目60-1211F,愛知県名古屋市中村区平池町４丁目６０－１２－１１階,4530872,愛知県,名古屋市中村区,平池町４丁目６０－１２－１１階,https://transmit-inc.jp/,,052-228-4100,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,,"225,000,000",～5未満,実川大海（代表取締役）,実川大海（代表取締役）,100万以上～5千万未満,,,,,,,,,Googleタグマネージャー/reCAPTCHA/Google マップ,-,-,-,-,-,中途採用掲載あり(2025/2026年),1,N/A
株式会社アスカクリエイト,'4011001000934,株式会社,,株式会社アスカクリエイトは、オフィスアプリケーションの開発やカスタマイズ型業務パッケージの開発・販売、ネットワークシステムのコンサルティングと開発・販売、Ｍｉｃｒｏｓｏｆｔ Ａｚｕｒｅ環境でのクラウド事業などを主たる業務とするＩＴ総合サービス法人です。,東京都渋谷区道玄坂1-19-11寿道玄坂ビル10F,150-0043,東京都,渋谷区,道玄坂1-19-11寿道玄坂ビル10F,東京都渋谷区道玄坂１丁目１９番１１号寿道玄坂ビル,1500043,東京都,渋谷区,道玄坂１丁目１９番１１号寿道玄坂ビル,https://www.askc.jp/,,03-5458-6459,03-5458-6452,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,1985/3,"16,000,000",20以上～30未満,満汐 芳治（代表取締役）,満汐 芳治（代表取締役）,5億以上～10億未満,,,,,,,,1,reCAPTCHA/Googleタグマネージャー/Google マップ,-,-,-,-,-,,1,N/A
株式会社エフコミュニケーションズ,'5011701014555,株式会社,,株式会社エフコミュニケーションズは、コンタクトセンターＣＲＭ『ぷらっとＣＲＭ』の運営、ＣＴＩシステムのＰａａＳ／ＳａａＳ、ＣＴＩ連携システムの開発、データ加工・処理など、幅広いＩＴサービス事業を展開する法人です。,,,,,,東京都江戸川区新堀１丁目２０番２号,1320001,東京都,江戸川区,新堀１丁目２０番２号,https://www.efc.co.jp/,info@efc.co.jp,03-5666-5663,03-5666-75676,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,小規模企業,2010/2,"8,000,000",5以上～10未満,子玉 剛（代表者）,子玉 剛（代表者）,5千万以上～1億未満,,,,,,,,,Google マップ,-,-,-,-,-,,,N/A
株式会社トップワンテック,'1011401018323,株式会社,,株式会社トップワンテックは、システム開発、クラウド導入支援、ＳａａＳ導入支援を提供するＩＴ法人であり、国内外の大手企業向けにワンストップサービスを展開しています。,東京都港区芝4丁目11-4ハラビルⅡ4F,,東京都,港区,芝4丁目11-4ハラビルⅡ4F,東京都港区芝４丁目１１番４号ハラビルⅡ４階,1080014,東京都,港区,芝４丁目１１番４号ハラビルⅡ４階,https://www.toponetec.com/,info@member.toponetec.com,03-6436-7818,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2014/12/22,"30,000,000",50以上～100未満,楊 国勇（代表取締役）,楊 国勇（代表取締役）,10億以上～20億未満,,12月,1,,,,2,17,Gstatic/Google アナリティクス,-,-,-,-,-,,,N/A
株式会社ジーシー,'3010401087987,株式会社,,株式会社ジーシーは、販売システムの企画・開発・販売やコールセンターの構築・運営を手掛ける法人であり、ＳａａＳ製品を通じて顧客の課題解決を支援するデジタルマーケティングおよび営業支援の専門集団です。,東京都新宿区大久保2-10-2山崎ビル3F,169-0072,東京都,新宿区,大久保2-10-2山崎ビル3F,東京都新宿区大久保２丁目１０番２号山崎ビル３階,169-0072,東京都,新宿区,大久保２丁目１０番２号山崎ビル３階,https://global-coms.biz,info@stratedge.jp,03-4226-3014,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,2017/6/16,"1,000,000",30以上～50未満,太田陽平（代表）,太田陽平（代表取締役）,10億以上～20億未満,,,,,,,1,27,reCAPTCHA/Gstatic/Googleタグマネージャー/Google マップ,◯,◯,-,-,-,中途採用掲載あり(2025/2026年),1,N/A
株式会社クラウドアシストサービス,'9040001060857,株式会社,,株式会社クラウドアシストサービスは、ＳａａＳ型クラウドサービスやＲＩＡ開発を専門とし、中小企業向けの会計・給与ソフトの開発を通じて、使いやすいシステムの提供を目指す法人です。,千葉県市川市塩焼1-10-15103,272-0114,千葉県,市川市,塩焼1-10-15103,千葉県市川市塩焼１丁目１０番１５－１０３号,2720114,千葉県,市川市,塩焼１丁目１０番１５－１０３号,https://cloudassist.co.jp/,,047-397-8078,03-6801-5509,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2011/9,,5以上～10未満,新屋 清信（代表取締役）,新屋 清信（代表取締役）,1億以上～5億未満,,,2,東京都,,,,,,-,-,-,-,-,,,N/A
ＴＯＫＹＯ ＴＥＣＨＩＥＳ株式会社,'3010701038780,株式会社,,ＴＯＫＹＯ ＴＥＣＨＩＥＳ株式会社は、企業のデジタルトランスフォーメーション（ＤＸ）を支援するために、ＩＴコンサルティングサービス、ＳａａＳ、ＡＩ、サイバーセキュリティ、システム開発を提供するワンストップのＩＴソリューション法人です。,東京都台東区東上野1-13-8東亜ビル4F,110-0015,東京都,台東区,東上野1-13-8東亜ビル4F,東京都台東区東上野１丁目１３－８東亜ビル４Ｆ,1100015,東京都,台東区,東上野１丁目１３－８東亜ビル４Ｆ,https://www.tokyotechies.com/ja,,03-3527-9993,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,,,20以上～30未満,,ドバ・ドゥック（創業者、CEO）/大塚 裕章（取締役）/ミシュラ・ウジュワル（COO (最高執行責任者)）/井上 俊也（監査役）,5億以上～10億未満,,,1,,1,ベトナム,,,jsDelivr/reCAPTCHA/unpkg/Gstatic/Googleタグマネージャー/Google Hosted Libraries/Amazon Cloud Front,◯,◯,◯,-,-,リリース情報掲載あり(2025/2026年),1,N/A
株式会社ビズ・クリエイション,'5260001010604,株式会社,,株式会社ビズ・クリエイションは、住宅業界に特化した集客支援サービスとプロモーションを提供する法人であり、特にＳａａＳツール「ＫｅｎｇａｋｕＣｌｏｕｄ」を通じて、企業と消費者の価値ある出会いを実現しています。,岡山県岡山市北区今3丁目16-5,700-0975,岡山県,岡山市北区,今3丁目16-5,岡山県岡山市北区今３丁目１６番５号,700-0975,岡山県,岡山市北区,今３丁目１６番５号,https://biz-creation.co.jp/,,086-259-2860,086-259-2861,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/広告業/広告業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,広告業,非上場,中小企業,2008/2/6,,30以上～50未満,初谷 昌彦（代表取締役）,初谷 昌彦（代表取締役）,5億以上～10億未満,,,,,,,,1,Font Awesome/Googleタグマネージャー/Google Hosted Libraries/Gstatic/jsDelivr/CloudFlare,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),2,N/A
ドキュメントフォース株式会社,'6010401183370,株式会社,,ドキュメントフォース株式会社は、ＡＩを活用してバックオフィス業務のデジタルトランスフォーメーションを実現するＳａａＳ法人であり、書類の自動処理や情報抽出を行うプロンプトテンプレート集を提供しています。,東京都港区愛宕2丁目5-1,105-0002,東京都,港区,愛宕2丁目5-1,東京都港区愛宕２丁目５番１号,1050002,東京都,港区,愛宕２丁目５番１号,https://lp.documentforce.ai/,,050-1725-1498,,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業,情報サービス業,,,,,非上場,中小企業,2024/6,"153,000,000",5以上～10未満,,,1億以上～5億未満,,,,,,,,,Typekit/CloudFlare/Googleタグマネージャー,-,-,-,-,-,商標出願あり(2025/2026年),,N/A
株式会社アルマス,'2010001084163,株式会社,,株式会社アルマスは、ソフトウェアシステム開発や中小企業向けＯＳＳ ＥＲＰ Ｃｏｍｐｉｅｒｅサポートを行う法人であり、主にＳａａＳ型・経営管理システムの事業領域に特化しています。,東京都千代田区外神田6-15-11日東ビル601号,101-0021,東京都,千代田区,外神田6-15-11日東ビル601号,東京都千代田区外神田６丁目１５番１１－６０１号,1010021,東京都,千代田区,外神田６丁目１５番１１－６０１号,http://almas.co.jp/,,03-5688-2081,03-5688-2082,"情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社",情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,非上場,中小企業,2003/8/11,"12,800,000",10以上～20未満,吉日木図（代表取締役社長）,吉日木図（代表取締役社長）,5千万以上～1億未満,,,1,,,,2,,Google アナリティクス/Google マップ,-,-,-,-,-,,,N/A
